Site ID,Stream Temperature 2040s,Stream Temperature 2080s,Stream Temperature Historical,Streamflow Historical,Streamflow 2040s,Streamflow 2080s
WHB,18.52,19.6,11.1356923077,2225.3368571424744,1815.8234285709666,1513.8547142852642
CHJ,23.806,25.116,16.9363076923,38870.32771428901,31469.977242861816,33254.89322857746
CHL,22.205,23.437,-1987.57284615,1364.4321428571245,1298.9098999999583,1507.0384999999499
GCL,24.038,25.357,17.1317692308,38622.27057142672,31198.29708571471,33107.58198571557
KET,21.806,23.02,15.2403076923,510.36100000005735,455.85921428578354,476.24580000004545
PRD,26.174,27.596,18.9442307692,43451.52114285487,36614.24044285686,39763.25712856979
RIS,23.418,24.709,16.6068461538,42767.46314285719,35940.925257145565,39011.65627143132
RRH,23.13,24.409,16.3638461538,42026.969285711595,34746.968014282465,37988.28917142251
WAN,25.404,26.79,18.2926923077,43102.58400000043,36317.6241285686,39352.82185714054
WEL,24.717,26.067,17.7071538462,40243.31485714145,32715.3678999981,35537.575085712146
YAK,29.984,31.59,22.1765384615,3170.4684285713925,2655.4331714285004,3195.7285714284503
ALF,16.255,17.202,10.5304615385,10146.120714285662,8662.42881428577,9149.153885714859
BDY,11.978,12.718,6.90207692308,10484.80142857094,8937.151999999069,9419.958514284768
BOX,11.418,12.131,6.42707692308,10207.812428572186,8712.34054285808,9194.45854285831
CAB,18.444,19.525,11.0737692308,7612.235714286291,6331.774742857948,7148.67295714385
CFM,19.121,20.21,11.6327692308,1443.4284285712215,1023.0949857141553,902.6042999998083
HGH,19.392,20.484,11.8566153846,469.4889999999976,223.47804285709373,142.75194285706237
KER,19.392,20.484,11.8566153846,2974.67514285723,2251.2019999999748,2203.1349571428636
LCF,19.655,20.749,12.0735384615,2439.003285714197,1865.3248714283875,2044.36975714265
NOX,18.852,19.938,11.4108461538,7472.928999999953,6245.42369999987,6988.9330428571475
PSL,14.4,15.258,-992.222153846,400.2335714285608,381.254271428566,387.2465571428582
SUV,9.902,10.542,5.14138461538,100.72085714285154,87.25799999999586,92.25691428571308
TOM,19.392,20.484,11.8566153846,7304.896428571553,6115.984857143174,6804.856571428636
COE,24.045,25.19,15.6946923077,374.1468571428145,207.63647142852562,213.6079285713261
LLK,20.104,21.235,13.7946153846,698.4375714285186,515.4438142857346,539.57168571433
MON,24.114,25.258,15.7526153846,505.22828571415545,321.9542714282747,343.3199857140151
NIN,20.896,22.066,-1989.27738462,567.480857142904,382.9382428572231,406.4011428572731
PFL,24.336,25.485,15.9362307692,453.3542857143076,279.4979857143151,301.9946285713673
LOS,19.796,20.988,-4992.187,726.2671428571668,762.5878571429054,726.8454714286746
ALD,19.508,20.692,-4992.88161538,555.6330000000779,553.0581571429432,528.8518857144309
CS2,15.531,16.686,-2992.24484615,185.01085714285992,163.56608571428407,151.72884285713815
DIA,15.71,16.868,-3993.22884615,2601.1037142857103,2640.7052571427944,2382.941342857076
GOR,15.601,16.76,-4994.31123077,2629.407142857093,2651.3732857142263,2387.0346714284847
LAG,18.95,20.129,-987.767923077,108.13285714286052,67.90307142858242,59.89015714284358
MAY,18.89,20.059,-1988.40323077,1131.6524285714472,913.3673571429399,890.2543714286095
MER,20.202,21.409,-2989.28953846,69.34300000003718,43.044571428562634,27.678857142937296
MOS,19.168,20.343,-1988.27507692,952.4797142857922,810.2206285714635,775.6307571429054
PAK,17.791,18.93,13.5244615385,247.32171428569225,215.00932857142823,194.19071428570965
ROS,15.123,16.278,-2992.54184615,2022.7351428571887,2050.20705714297,1819.8368714286576
SHA,19.174,20.355,-2990.25276923,1007.7819999999946,964.5712285714355,915.2155714285797
SWF,16.872,17.987,-6996.04823077,60.77828571428493,34.203357142844474,19.39328571423536
UBK,17.64,18.813,-5994.59315385,685.6647142857261,664.805799999993,613.5167428571464
YAL,19.159,20.335,-1988.32130769,66.91257142858824,40.3748571427562,25.214414285573408
BLU,16.502,17.605,-2991.56253846,17.228571428572764,16.489242857140784,15.911828571425998
CGR,17.879,19.022,-3992.00930769,124.1790000000035,118.14389999999513,114.6949714285641
COT,21.303,22.538,-3990.18884615,44.555857142853775,46.8812999999915,43.81377142856114
DET,15.776,16.86,11.9083846154,271.83785714279946,218.6151857142332,200.07935714285645
DEX,22.801,24.076,17.5411538462,555.6330000000779,553.0581571429432,528.8518857144309
DOR,21.778,23.025,16.7216923077,116.76885714283002,118.30954285711954,115.2603999999738
FAL,22.981,24.26,17.6843846154,75.20071428571724,72.75725714286611,72.81535714287207
FOS,20.574,21.789,-985.525461538,51.59342857145409,47.36804285718247,43.30318571431986
FRN,26.276,27.644,-4989.62376923,7.047285714274367,8.099485714271717,8.908942857125975
GPR,17.163,18.286,-3992.64346154,18.593428571418038,17.63531428569048,16.59262857139246
HCR,17.029,18.148,-988.386384615,164.476285714281,162.00348571425073,155.02678571425716
LEA,18.188,19.339,13.8429230769,634.5844285713717,598.3511571427808,544.1882285713524
NFK,17.916,19.06,13.6246923077,397.6924285714159,368.62299999992825,342.2852142856525
OAK,17.152,18.276,13.0125384615,119.8165714285744,112.85112857143855,105.26521428571729
RML,21.253,22.489,16.3012307692,518.5098571428637,485.4759571428237,457.5691142856785
SLM,24.15,25.459,-983.167153846,3170.559142857334,2648.1067285720756,2716.9379571437776
SMH,12.965,13.972,-991.560538462,23.29471428572108,19.362914285719615,15.58495714286662
SVN,26.648,28.029,-2985.55423077,3789.0342857147252,3174.5394428573422,3270.9204285712212
TMY,14.397,15.444,-990.406923077,70.63714285714337,64.50014285714222,62.52341428571173
TRB,12.092,13.078,-2993.38784615,117.33700000000098,107.9290714285702,91.14384285715029
WAV,20.063,21.265,15.347,720.8862857142587,689.4533428572158,630.6567714286005
EUGO,21.805,23.054,16.7439230769,1557.43871428577,1543.770042857056,1440.4172999998764
BIGI,14.054,15.082,7.45061538462,537.8041428571818,713.6702285714467,683.2608428571871
WFWI,15.46,16.505,8.61123076923,68.09971428571374,47.80335714285659,51.25587142856986
AMFI,13.728,14.75,-1994.34861538,4984.4748571427335,4545.411285714114,4748.5100571427265
ANDI,13.792,14.817,7.23453846154,89.24299999998804,90.17505714286212,94.21744285714465
ARKI,13.792,14.817,7.23453846154,463.4899999999593,595.1928142856502,593.7838714284651
BDDI,14.054,15.082,7.45061538462,502.12671428571946,655.35087142858,637.0865857142928
BFKY,17.435,18.504,10.2408461538,317.99528571428,257.38824285713446,281.28274285713115
BLFI,13.728,14.75,-1994.34861538,105.59857142857585,65.72092857143078,95.00628571428287
BFTI,13.728,14.75,-1994.34861538,4447.25257142851,4089.7616142856814,4363.1166571429585
BOMI,19.228,20.314,11.7197692308,597.8661428571019,798.9370571428157,744.5696571428468
BRN,20.016,21.110999999999997,12.369846153846154,11705.18071428553,11340.41702857103,10772.909199999576
GAINTWSP,13.792,14.817,7.23453846154,309.0478571428892,381.1920285714502,406.32021428571636
CSCI,13.322,14.341,6.847,409.32657142857425,374.30675714284973,369.0520999999948
DEDI,13.728,14.75,-1994.34861538,23.98514285714312,27.862400000000488,25.139700000002115
